date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:12:41	43625/43625	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Aug%202008%2001:45:01%20GMT	http://www.hantang.com/images/lrb.jpg	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/images/lrb.jpg	(from http://www.hantang.com/english/en_index.html)
21:12:42	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Oct%202022%2013:12:40%20GMT	http://www.hantang.com/chinese/ch_Articles/copyright4.files/themedata.thmx	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/chinese/ch_Articles/copyright4.files/themedata.thmx	(from http://www.hantang.com/chinese/ch_Articles/copyright4.htm)
21:12:42	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Oct%202022%2013:12:41%20GMT	http://www.hantang.com/chinese/ch_Articles/copyright4.files/colorschememapping.xml	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/chinese/ch_Articles/copyright4.files/colorschememapping.xml	(from http://www.hantang.com/chinese/ch_Articles/copyright4.htm)
21:12:43	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Oct%202022%2013:12:41%20GMT	http://www.hantang.com/chinese/ch_Articles/copyright4.files/header.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/chinese/ch_Articles/copyright4.files/header.htm	(from http://www.hantang.com/chinese/ch_Articles/copyright4.htm)
21:12:43	20857/20857	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Jan%202015%2019:12:57%20GMT	http://www.hantang.com/chinese/ch_Articles/Ch_index.html	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/chinese/ch_Articles/Ch_index.html	(from http://www.hantang.com/chinese/ch_Articles/copyright4.htm)
21:12:44	19974/19974	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:20%20GMT	http://www.hantang.com/english/en_Articles/Frank.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/Frank.html	(from http://www.hantang.com/english/en_Articles/newslett.htm)
21:12:45	3627/3627	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:20%20GMT	http://www.hantang.com/english/en_Articles/femalepro.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/femalepro.html	(from http://www.hantang.com/english/en_Articles/researchstudy.htm)
21:12:45	3887/3887	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:17%20GMT	http://www.hantang.com/english/en_Articles/breastdisorder.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/breastdisorder.html	(from http://www.hantang.com/english/en_Articles/researchstudy.htm)
21:12:46	2787/2787	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:19%20GMT	http://www.hantang.com/english/en_Articles/emp.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/emp.html	(from http://www.hantang.com/english/en_Articles/researchstudy.htm)
21:12:46	2763/2763	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:31%20GMT	http://www.hantang.com/english/en_Articles/sinusp.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/sinusp.html	(from http://www.hantang.com/english/en_Articles/researchstudy.htm)
21:12:47	2473/2473	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:17%20GMT	http://www.hantang.com/english/en_Articles/breastpro-5.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/breastpro-5.html	(from http://www.hantang.com/english/en_Articles/researchstudy.htm)
21:12:48	2132/2132	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:23%20GMT	http://www.hantang.com/english/en_Articles/internalrectalpro.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/internalrectalpro.html	(from http://www.hantang.com/english/en_Articles/researchstudy.htm)
21:12:49	2737/2737	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:31%20GMT	http://www.hantang.com/english/en_Articles/stomachlyp.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/stomachlyp.html	(from http://www.hantang.com/english/en_Articles/researchstudy.htm)
21:12:49	2407/2407	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:31%20GMT	http://www.hantang.com/english/en_Articles/uterae.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/uterae.html	(from http://www.hantang.com/english/en_Articles/researchstudy.htm)
21:12:50	2303/2303	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:31%20GMT	http://www.hantang.com/english/en_Articles/skinp.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/skinp.html	(from http://www.hantang.com/english/en_Articles/researchstudy.htm)
21:12:50	3186/3186	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:32%20GMT	http://www.hantang.com/english/en_Articles/whiteblood.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/whiteblood.html	(from http://www.hantang.com/english/en_Articles/researchstudy.htm)
21:12:51	2135/2135	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:22%20GMT	http://www.hantang.com/english/en_Articles/gallbladderpro.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/gallbladderpro.html	(from http://www.hantang.com/english/en_Articles/researchstudy.htm)
